latitude,longitude,location name,land price,electricity,notes
34.7304,-86.5861,"Huntsville, AL","$75,000-150,000/acre","$0.0972/kWh","{notes:["Growing tech hub","Google data center presence","Favorable business climate"]}"
33.5186,-86.8104,"Birmingham, AL","$50,000-100,000/acre","$0.0995/kWh","{notes:["Southern Company power infrastructure","AT&T presence","Major business center"]}"
30.6954,-88.0399,"Mobile, AL","$40,000-85,000/acre","$0.0989/kWh","{notes:["Coastal access","Submarine cable potential","Matrix Data Centers presence"]}"
32.3668,-86.2998,"Montgomery, AL","$35,000-80,000/acre","$0.0985/kWh","{notes:["Central location","State government presence","Affordable land"]}"
33.2098,-87.5692,"Tuscaloosa, AL","$30,000-75,000/acre","$0.0979/kWh","{notes:["University resources","Lower cost alternative","Infrastructure investment"]}"
31.2232,-85.3905,"Dothan, AL","$25,000-60,000/acre","$0.0982/kWh","{notes:["Wiregrass Data Center already established","Low real estate costs","Southeast regional position"]}"
33.4054,-86.8114,"Hoover, AL","$45,000-90,000/acre","$0.0989/kWh","{notes:["Hoover Data Hub present","Birmingham suburb","Business-friendly environment"]}"
34.7304,-86.5861,"Huntsville-Madison, AL","$80,000-160,000/acre","$0.0972/kWh","{notes:["Vector Data Solutions presence","Research park access","Emerging tech ecosystem"]}"
32.6099,-85.4808,"Auburn, AL","$40,000-90,000/acre","$0.0992/kWh","{notes:["University resources","Research capabilities","Eastern Alabama location"]}"
33.6568,-85.8316,"Anniston, AL","$20,000-55,000/acre","$0.0995/kWh","{notes:["Low cost region","Available industrial land","Eastern Alabama connectivity"]}"
61.2181,-149.9003,"Anchorage, AK","$150,000-300,000/acre","$0.1820/kWh","{notes:["Cold climate advantage","Primary connectivity point","Anchorage Data Center presence"]}"
64.8378,-147.7164,"Fairbanks, AK","$50,000-100,000/acre","$0.1920/kWh","{notes:["Extremely cold climate for cooling efficiency","University of Alaska presence","Northern location"]}"
61.5997,-149.1128,"Palmer, AK","$70,000-130,000/acre","$0.1860/kWh","{notes:["MTA Data Center presence","Moderate climate","Mat-Su Valley growth area"]}"
58.3019,-134.4197,"Juneau, AK","$100,000-200,000/acre","$0.1180/kWh","{notes:["Hydroelectric power","State capital connectivity","Temperate rainforest climate"]}"
60.5544,-151.2583,"Kenai, AK","$60,000-120,000/acre","$0.1880/kWh","{notes:["Energy industry presence","Cooler climate","Kenai Peninsula location"]}"
33.4502,-112.0667,"Phoenix, AZ","$200,000-500,000/acre","$0.0763/kWh","{notes:["Established data center hub","Favorable tax incentives","Multiple carrier options"]}"
33.3515,-111.7729,"Mesa, AZ","$150,000-400,000/acre","$0.0761/kWh","{notes:["CyrusOne and NTT presence","Growing tech area","East Valley expansion"]}"
32.2226,-110.9747,"Tucson, AZ","$100,000-250,000/acre","$0.0790/kWh","{notes:["University resources","Lower land costs than Phoenix","Southern Arizona position"]}"
35.1983,-111.6513,"Flagstaff, AZ","$150,000-350,000/acre","$0.0810/kWh","{notes:["Cooler climate than Phoenix","Higher elevation","Copper State DC presence"]}"
33.4352,-112.3577,"Goodyear, AZ","$120,000-300,000/acre","$0.0760/kWh","{notes:["Compass Datacenters presence","Western expansion area","Business-friendly policies"]}"
33.4255,-111.9400,"Tempe, AZ","$250,000-600,000/acre","$0.0762/kWh","{notes:["ASU research park","Tech company presence","Cyxtera PHX1 presence"]}"
33.4075,-111.9124,"Tempe (South), AZ","$230,000-550,000/acre","$0.0762/kWh","{notes:["Cyxtera PHX2 presence","University adjacent","Central location"]}"
33.4223,-112.0265,"Phoenix (Downtown), AZ","$300,000-650,000/acre","$0.0763/kWh","{notes:["Aligned Phoenix presence","Urban location","Carrier hotel access"]}"
33.3062,-111.8413,"Chandler, AZ","$180,000-450,000/acre","$0.0761/kWh","{notes:["H5 Data Centers presence","Southeast Valley tech corridor","Intel campus nearby"]}"
33.4496,-112.0013,"Phoenix (East), AZ","$220,000-500,000/acre","$0.0763/kWh","{notes:["H5 Data Centers Phoenix presence","Airport proximity","Multiple fiber routes"]}"
33.3447,-111.6865,"Mesa (East), AZ","$130,000-350,000/acre","$0.0761/kWh","{notes:["EdgeCore Internet Real Estate presence","Available land","Growing tech corridor"]}"
32.6927,-114.6277,"Yuma, AZ","$50,000-120,000/acre","$0.0780/kWh","{notes:["Desert Data Center presence","Border location","Solar power potential"]}"
